,texts,my_labels,predicted,prediction_class,clean_texts
82,"Our next Fresh Fun Mobile Market is tomorrow, March 26th from 10am-12:30pm at Loyola Academy!

Chef demonstrations, recipes, and FREE essential items. This event will require pre-registration, as space will be limited.

Sign up now on our website!

If you can't make it out, stay tuned for future opportunities coming soon. Text “FUNMEALS” to 741-21 for alerts on all upcoming events.

.
.
.
#STLNonprofit #StLouisNonprofit #stlnonprofits #StLouisEducation #STLEducation #stlserves #childrenandfamilies #communityneeds #buildingabettercommunity #funmeals #foodassistance #enrichingcommunities #youthservices #communityaction #enrichmentprogram #communityorganization #mobilemarket #getsupport #4charity #communityimpact #neighborshelpingneighbors #takingaction  #socialimpact #doinggood #thebaileyfoundation #takeactionstl",neutral,positive,neutral-positive,Our next Fresh Fun Mobile Market is tomorrow March 26th from 10am 12 30pm at Loyola Academy ! Chef demonstrations recipes and FREE essential items This event will require pre registration as space will be limited Sign up now on our website ! If you can't make it out stay tuned for future opportunities coming soon Text “FUNMEALS” to 741 21 for alerts on all upcoming events  STLNonprofit StLouisNonprofit stlnonprofits StLouisEducation STLEducation stlserves childrenandfamilies communityneeds buildingabettercommunity funmeals foodassistance enrichingcommunities youthservices communityaction enrichmentprogram communityorganization mobilemarket getsupport 4charity communityimpact neighborshelpingneighbors takingaction socialimpact doinggood thebaileyfoundation takeactionstl
83,"#<U+0645><U+0633><U+064A><U+0644><U+0629> <U+0644><U+064A> <U+062C><U+064A><U+0646><U+064A><U+0631><U+0648> <U+0628><U+0631><U+0643><U+0627><U+0648> <U+0645><U+0644><U+0639><U+0628><U+060C> 7<U+0648>8  <U+0627><U+0644><U+0633><U+0644><U+0637><U+0629> <U+0644><U+0644><U+0634><U+0639><U+0628>
#msila Generals stop playing around, apply articles 7 and 8, the power to the people
<U+062A><U+062D><U+064A><U+0627> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631><U+062F><U+0648><U+0644><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+062A><U+062D><U+064A><U+0627> <U+0627><U+0644><U+062C><U+0632><U+0627><U+0626><U+0631> <U+0645><U+0627><U+0634><U+064A> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629>
Long live Algeria, a civil state, long live Algeria, not a military state
<U+062F><U+0648><U+0644><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+062F><U+0646><U+064A><U+0629> <U+0645><U+0627><U+0634><U+064A> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629> <U+0639><U+0633><U+0643><U+0631><U+064A><U+0629>.
Civil, civil, civil state, not military, military, military state.

#algeria
#algerie
#algerian
#algeria<U+0001F1E9><U+0001F1FF>
#alger
#hirak 
#protest
#protests
#protest_peacefully 
#politiquealgerienne
#free_the_detainees
#<U+062D><U+0631><U+0627><U+0643>_22_<U+0641><U+064A><U+0641><U+0631><U+064A> 
#<U+064A><U+062A><U+0646><U+062D><U+0627><U+0648>_<U+06A8><U+0627><U+0639> 
#<U+0627><U+0644><U+0627><U+0633><U+062A><U+0642><U+0644><U+0627><U+0644> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631>_<U+0627><U+0644><U+0645><U+062D><U+0645><U+064A><U+0629>_<U+0628><U+0627><U+0644><U+0644><U+0647> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631> 
#<U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631><U+0001F1E9><U+0001F1FF>
#<U+0627><U+0644><U+062D><U+0631><U+0627><U+0643>
#<U+062D><U+0631><U+0627><U+0643><U+0627><U+0644><U+062C><U+0632><U+0627><U+064A><U+0654><U+0631>
#<U+0627><U+0644><U+062D><U+0631><U+064A><U+0629> 
#<U+0646><U+0631><U+064A><U+062F>_<U+0648><U+0637><U+0646>
#<U+0645><U+0639><U+062A><U+0642><U+0644><U+064A>_<U+0627><U+0644><U+0631><U+0627><U+0654><U+064A> 
#<U+0633><U+0644><U+0645><U+064A><U+0629>_<U+0633><U+0644><U+0645><U+064A><U+0629> 
#<U+0627><U+0644><U+062D><U+0631><U+0627><U+0643>_<U+0627><U+0644><U+0634><U+0639><U+0628>",negative,neutral,negative-neutral,U+0645 U+0633 U+064A U+0644 U+0629 U+0644 U+064A U+062C U+064A U+0646 U+064A U+0631 U+0648 U+0628 U+0631 U+0643 U+0627 U+0648 U+0645 U+0644 U+0639 U+0628 U+060C 7 U+0648 8 U+0627 U+0644 U+0633 U+0644 U+0637 U+0629 U+0644 U+0644 U+0634 U+0639 U+0628 msila Generals stop playing around apply articles 7 and 8 the power to the people U+062A U+062D U+064A U+0627 U+0627 U+0644 U+062C U+0632 U+0627 U+0626 U+0631 U+062F U+0648 U+0644 U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+062A U+062D U+064A U+0627 U+0627 U+0644 U+062C U+0632 U+0627 U+0626 U+0631 U+0645 U+0627 U+0634 U+064A U+0639 U+0633 U+0643 U+0631 U+064A U+0629 Long live Algeria a civil state long live Algeria not a military state U+062F U+0648 U+0644 U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+0645 U+062F U+0646 U+064A U+0629 U+0645 U+0627 U+0634 U+064A U+0639 U+0633 U+0643 U+0631 U+064A U+0629 U+0639 U+0633 U+0643 U+0631 U+064A U+0629 U+0639 U+0633 U+0643 U+0631 U+064A U+0629 Civil civil civil state not military military military state algeria algerie algerian algeria U+0001F1E9 U+0001F1FF alger hirak protest protests protest peacefully politiquealgerienne free the detainees U+062D U+0631 U+0627 U+0643 22 U+0641 U+064A U+0641 U+0631 U+064A  U+064A U+062A U+0646 U+062D U+0627 U+0648 U+06A8 U+0627 U+0639  U+0627 U+0644 U+0627 U+0633 U+062A U+0642 U+0644 U+0627 U+0644  U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631 U+0627 U+0644 U+0645 U+062D U+0645 U+064A U+0629 U+0628 U+0627 U+0644 U+0644 U+0647  U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631  U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631 U+0001F1E9 U+0001F1FF U+0627 U+0644 U+062D U+0631 U+0627 U+0643 U+062D U+0631 U+0627 U+0643 U+0627 U+0644 U+062C U+0632 U+0627 U+064A U+0654 U+0631 U+0627 U+0644 U+062D U+0631 U+064A U+0629  U+0646 U+0631 U+064A U+062F U+0648 U+0637 U+0646 U+0645 U+0639 U+062A U+0642 U+0644 U+064A U+0627 U+0644 U+0631 U+0627 U+0654 U+064A  U+0633 U+0644 U+0645 U+064A U+0629 U+0633 U+0644 U+0645 U+064A U+0629  U+0627 U+0644 U+062D U+0631 U+0627 U+0643 U+0627 U+0644 U+0634 U+0639 U+0628
84,Birds of a feather? That or same reference photos. #acrylic #frankzappa #franksactualbird #franklyforthebirds #birdsaredrones #yourartismyartmyartwasthrownawaybypoliceandmypeople #didyouenjoytheshow #art #scribbeart #alllines #onelineatatime #artisresistance #musefunding #muse #youareapartofme #iaminsideyounow #seepingintoyou #filibuster #gangstalkingflyers @manuelsantanaart #666 #420 #heights #jamjammask,neutral,neutral,neutral-neutral,Birds of a feather? That or same reference photos acrylic frankzappa franksactualbird franklyforthebirds birdsaredrones yourartismyartmyartwasthrownawaybypoliceandmypeople didyouenjoytheshow art scribbeart alllines onelineatatime artisresistance musefunding muse youareapartofme iaminsideyounow seepingintoyou filibuster gangstalkingflyers manuelsantanaart 666 420 heights jamjammask
85,"Where’s your paradise? How about adding some coffee to the equation and making it even better. Whether you’re working in the shop, or camping on the top of a mountain, you don’t need to leave coffee behind.
.
.
.
#sai #pourover #coffee #adventure #paradise #brew #phoenix70 #filibuster #grinder",positive,negative,positive-negative,Where’s your paradise? How about adding some coffee to the equation and making it even better Whether you’re working in the shop or camping on the top of a mountain you don’t need to leave coffee behind  sai pourover coffee adventure paradise brew phoenix70 filibuster grinder
86,"<U+0001F409> <U+0001F525>Follow the official @georgejacksongrassroots movement page now!

.
.
#grassroots 
#grassrootsorganizing 
#grassrootsorganizations 
#grassrootsorganization 
#newafrikanindependencemovement 
#newafrikans
#newafrikanguerrillas 
#georgejacksongrassrootsmovement
#georgejackson 
#georgejacksonquotes 
#georgejacksonuniversity 
#georgejacksonradio 
#newafrikanpoliticalprisoners 
#freeallpoliticalprisoners 
#politicalprisonersofwar
#communityorganizations 
#communityorganizing 
#communityorganizer 
#soledadbrothers 
#transformingthecriminalmindintoarevolutionarymind 
#turningcagesintouniversities 
#viralpage
#viralpages
#viralpost 
#viralpost
#viralinstagram 
#explorepage
#organization 
#organizing 
#communityorganization",neutral,positive,neutral-positive,U+0001F409 U+0001F525 Follow the official georgejacksongrassroots movement page now !  grassroots grassrootsorganizing grassrootsorganizations grassrootsorganization newafrikanindependencemovement newafrikans newafrikanguerrillas georgejacksongrassrootsmovement georgejackson georgejacksonquotes georgejacksonuniversity georgejacksonradio newafrikanpoliticalprisoners freeallpoliticalprisoners politicalprisonersofwar communityorganizations communityorganizing communityorganizer soledadbrothers transformingthecriminalmindintoarevolutionarymind turningcagesintouniversities viralpage viralpages viralpost viralpost viralinstagram explorepage organization organizing communityorganization
87,"Ukrainian President Volodymyr Zelensky has called on Russia to meet, saying ""it's time to talk”.

His appeal came as fierce fighting continued, 23 days after Russia launched its full-scale invasion. @bbcnews 

#Zelensky #Russia #Ukraine #Moscow #BBCNews #UkraineUnderAttack #UkraineRussia #president #vp #joebiden #StandWithUkriane #kamalaharris #nancypelosi #chuckschumer #filibuster #votevets #DNC",neutral,positive,neutral-positive,"Ukrainian President Volodymyr Zelensky has called on Russia to meet saying ""it's time to talk” His appeal came as fierce fighting continued 23 days after Russia launched its full scale invasion bbcnews Zelensky Russia Ukraine Moscow BBCNews UkraineUnderAttack UkraineRussia president vp joebiden StandWithUkriane kamalaharris nancypelosi chuckschumer filibuster votevets DNC"
88,"I don’t have a green thumb sooo...painted tulips <U+0001F337>virtually with patrons of the Fairfield Library this afternoon! 

Support your local library!

Schedule a session for your library, YMCA, senior center or community group!  https://www.expressyourselfstudiosllc.com
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#ArtistinResidency, #artenrichment #workshops #groups #schools #communityorganizations #librariesrock #libraryprogram #librarylife #librarytime #libraryday #librarielove #loveyourlibrary",positive,positive,positive-positive,I don’t have a green thumb sooo painted tulips U+0001F337 virtually with patrons of the Fairfield Library this afternoon ! Support your local library ! Schedule a session for your library YMCA senior center or community group ! https www expressyourselfstudiosllc com     ArtistinResidency artenrichment workshops groups schools communityorganizations librariesrock libraryprogram librarylife librarytime libraryday librarielove loveyourlibrary
89,#kama_mar_beats #pdxhiphop #unburdened #hawaiianhiphop #beatmakers #producer #akaimpc #pdxprotests #practice #protests #theriverflowsonward #cultívate #conciousculture #instrumental #fuckhippies #fuckproudboys #fuck12 #nowallsnodoorsnogenres #hilohawaii #portlandoregon #bigisland #takemeawayfromhere #detroitprotests #destroy #rebuild #repurpose,negative,neutral,negative-neutral,kama mar beats pdxhiphop unburdened hawaiianhiphop beatmakers producer akaimpc pdxprotests practice protests theriverflowsonward cultívate conciousculture instrumental fuckhippies fuckproudboys fuck12 nowallsnodoorsnogenres hilohawaii portlandoregon bigisland takemeawayfromhere detroitprotests destroy rebuild repurpose
90,The filibuster has made national news in recent days. It’s a controversial tool tied to a long history of oppression of women and communities of color. It’s important to acknowledge this history and make essential reform. Progress should never be stalled. #filibuster #lwvfairlawn,positive,negative,positive-negative,The filibuster has made national news in recent days It’s a controversial tool tied to a long history of oppression of women and communities of color It’s important to acknowledge this history and make essential reform Progress should never be stalled filibuster lwvfairlawn
91,"Independent contractors don’t have to “go it alone” with legal planning. Whether you are a start-up or need updated documents, schedule a free assessment to get the support you need to protect your business.

Call (540) 692-9790 today to setup a free consultation or visit link in bio.

#glenlochlegal
#wills
#smallbusiness
#familyandbusinessplanning
#businessadvice
#communityorganizations
#winchesterva
#law",neutral,neutral,neutral-neutral,Independent contractors don’t have to “go it alone” with legal planning Whether you are a start up or need updated documents schedule a free assessment to get the support you need to protect your business Call (540) 692 9790 today to setup a free consultation or visit link in bio glenlochlegal wills smallbusiness familyandbusinessplanning businessadvice communityorganizations winchesterva law
92,#olderandwiser #seniorprogramming #senioractivities #workshops #workshopsforseniors #joy #findyourbliss #liveyourtruth #community #communityoutreach #informationseries #ndg #virtualworkshops #montreal #montrealworkshops #nonprofit #notforprofit #communityorganizations #communitycenters#preventioncdnndg,positive,positive,positive-positive,olderandwiser seniorprogramming senioractivities workshops workshopsforseniors joy findyourbliss liveyourtruth community communityoutreach informationseries ndg virtualworkshops montreal montrealworkshops nonprofit notforprofit communityorganizations communitycenters preventioncdnndg
93,"There’s a need for culturally sensitive  and trauma informed , Black and Hispanic, queer and non-binary practitioners in PDX. I’ve been through sexual assault, trauma, CPTSD, houselessness, rape and more, so I know how to serve these populations because I’ve lived through it and no degree can teach you that. I’m also a veteran. Support a treatment in your community. Support me as well cuz I also need your financial support. Thank you in advance.

Venmo Jamila-Loubriel
PayPal.me/bookjamila
$filmandphotos 

#mutualaidpdx #mutualaid #mutualaidportland #reikipdx #reikimutualaid",negative,negative,negative-negative,There’s a need for culturally sensitive and trauma informed Black and Hispanic queer and non binary practitioners in PDX I’ve been through sexual assault trauma CPTSD houselessness rape and more so I know how to serve these populations because I’ve lived through it and no degree can teach you that I’m also a veteran Support a treatment in your community Support me as well cuz I also need your financial support Thank you in advance Venmo Jamila Loubriel PayPal me bookjamila $filmandphotos mutualaidpdx mutualaid mutualaidportland reikipdx reikimutualaid
94,"#Repost @inclusive.freedom
• • • • • •
""Those who do not move will never feel their chains.""

.
.
.
.
.
#blacklivesmatter #justice #systemicracism
#nojustice #noracism #antiracism  #endpolicebrutality #endracism
#racisminamerica #blmmovement
#beapartofthesolution #community #violence#protest #blm #georgefloyd #policebrutality #racism #breonnataylor
#nojusticenopeace  #icantbreathe#letstalkaboutracism #blackhistory #discrimination #freedom #diversity #unity #solidarity #saynotoracism",negative,neutral,negative-neutral,"Repost inclusive freedom • • • • • • ""Those who do not move will never feel their chains ""   blacklivesmatter  justice  systemicracism nojustice  noracism antiracism  endpolicebrutality  endracism racisminamerica  blmmovement beapartofthesolution  community violence protest  blm  georgefloyd  policebrutality  racism  breonnataylor nojusticenopeace  icantbreathe letstalkaboutracism  blackhistory  discrimination  freedom  diversity  unity  solidarity  saynotoracism"
95,"A very special thank you to @deltabingoandgaming for their continued support of LDAPR and their families. Because of funders like Delta Bingo and Gaming, we can make a difference in the lives of those living with learning disabilities. Thank you for your generosity and care for our community!

#deltabingoandgaming #support #community #thankyou #academicsupport #programming #learningdisabilities #learningisfun #communityorganization #regionofpeel #peelregion #mississauga #brampton #caledon  #LDAPR  #Neurodiversity #neurodivergence #adhd #asd #autism #ldawareness #dyslexia #dyspraxia #dyscalcula #learningdifferently #learningyourway",positive,positive,positive-positive,A very special thank you to deltabingoandgaming for their continued support of LDAPR and their families Because of funders like Delta Bingo and Gaming we can make a difference in the lives of those living with learning disabilities Thank you for your generosity and care for our community ! deltabingoandgaming support community thankyou academicsupport programming learningdisabilities learningisfun communityorganization regionofpeel peelregion mississauga brampton caledon LDAPR Neurodiversity neurodivergence adhd asd autism ldawareness dyslexia dyspraxia dyscalcula learningdifferently learningyourway
96,"The latest editorial cartoon by Michael de Adder<U+0001F3A8><U+2060>
<U+2060>
How would you caption this? Let us know in the comments and visit the link in our bio to see more!<U+2060>
Also, don't forget to:<U+2060>
<U+0001F514>Turn on post notifications<U+2060>
<U+0001F4F2>Check our Stories for more content",neutral,neutral,neutral-neutral,The latest editorial cartoon by Michael de Adder U+0001F3A8 U+2060 U+2060 How would you caption this? Let us know in the comments and visit the link in our bio to see more ! U+2060 Also don't forget to U+2060 U+0001F514 Turn on post notifications U+2060 U+0001F4F2 Check our Stories for more content
97,"Our neighbor is in need of aid! Share if you can’t afford to send money <U+0001F49A>

—

#ImageDescription #AltText 
A flyer with a blue-gray background has an image of some soft blue flower-heads at the center. Glowing white words arch around the bouquet: “Black Disabled Trans Femme
Seeking Safe Housing & Support”

Lined up underneath this in regular white text reads:
“CashApp $m4ges
Venmo @ m4ges
KO-FI ko-fi.com/mages

She has chosen to stay anonymous and is seeking emergency safety, housing, and financial support to help her get out of the traumatic & abusive environment they currently are in.

MUTUAL AID GOAL $3333”",neutral,positive,neutral-positive,Our neighbor is in need of aid ! Share if you can’t afford to send money U+0001F49A — ImageDescription AltText A flyer with a blue gray background has an image of some soft blue flower heads at the center Glowing white words arch around the bouquet “Black Disabled Trans Femme Seeking Safe Housing & Support” Lined up underneath this in regular white text reads “CashApp $m4ges Venmo m4ges KO FI ko fi com mages She has chosen to stay anonymous and is seeking emergency safety housing and financial support to help her get out of the traumatic & abusive environment they currently are in MUTUAL AID GOAL $3333”
98,"RWOP's Charity of the Month for April is Yavapai Casa for Kids. 
<U+200B>
This foundation serves the needs of abused, neglected and abandoned children who are in the care of the Yavapai County Prescott Court, and also youth who are enrolled in the Department of Child Safety Foster Care Program.

CASA stands for Court Appointed Special Advocates. Participants are local volunteers who have been certified by the Arizona Supreme Court to serve the best best interests of abused and neglected children. That includes providing a safe, nurturing and permanent home for them. The CASA for Kids Foundation assists these foster families with needed items they may not be able to afford, such as clothing, toys, blankets, school supplies and more.

Please help out this worthy cause with a generous donation of your time or money. Volunteers are always in demand. All donations are eligible under the Arizona Tax Credit program. Anything you can do will be greatly appreciated.

VISIT https://yavapaicasaforkids.org/ FOR MORE INFO. 
.
.
.
#caringforamerica #donations #yavapaicasaforkids #communityorganizations #charity #aztaxcredit #prescottarizona #yavapaicounty #republicanwomenofprescott #rwop #fundraisingforacause #getinvolved #communityoutreach #helpourkids #preventabuse",positive,positive,positive-positive,RWOP's Charity of the Month for April is Yavapai Casa for Kids U+200B This foundation serves the needs of abused neglected and abandoned children who are in the care of the Yavapai County Prescott Court and also youth who are enrolled in the Department of Child Safety Foster Care Program CASA stands for Court Appointed Special Advocates Participants are local volunteers who have been certified by the Arizona Supreme Court to serve the best best interests of abused and neglected children That includes providing a safe nurturing and permanent home for them The CASA for Kids Foundation assists these foster families with needed items they may not be able to afford such as clothing toys blankets school supplies and more Please help out this worthy cause with a generous donation of your time or money Volunteers are always in demand All donations are eligible under the Arizona Tax Credit program Anything you can do will be greatly appreciated VISIT https yavapaicasaforkids org FOR MORE INFO  caringforamerica donations yavapaicasaforkids communityorganizations charity aztaxcredit prescottarizona yavapaicounty republicanwomenofprescott rwop fundraisingforacause getinvolved communityoutreach helpourkids preventabuse
99,"Have you updated your will to meet your current wishes? Take time today to make sure your wishes are carried out. 
Call (540) 692-9790 today to setup a free consultation or visit link in bio.

#glenlochlegal
#wills
#familyandbusinessplanning
#businessadvice
#communityorganizations
#winchesterva
#law

#glenlochlegal",neutral,neutral,neutral-neutral,Have you updated your will to meet your current wishes? Take time today to make sure your wishes are carried out Call (540) 692 9790 today to setup a free consultation or visit link in bio glenlochlegal wills familyandbusinessplanning businessadvice communityorganizations winchesterva law glenlochlegal
